"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.821144580E-1,-2.598996162E-1,4.734516144E-2,-3.306055069E-2,2.662374407E-1
4.901405820E-1,-6.378674507E-2,-2.994203568E-2,-6.219768524E-2,9.398843757E-2
4.981361870E-1,7.635617256E-2,-7.228946686E-2,-1.859188080E-2,1.067786970E-1
5.061317920E-1,2.151970863E-1,-7.109355927E-2,-1.720123291E-1,2.845212145E-1
5.140663630E-1,1.659319401E-1,-1.153230667E-2,-4.117403030E-1,4.440681029E-1
5.220924860E-1,-1.472923756E-1,9.752893448E-2,-8.859658241E-1,9.034059876E-1
5.300880910E-1,2.384662628E-3,1.528267860E-1,-8.445529938E-1,8.582723766E-1
5.380531790E-1,4.196166992E-5,9.368944168E-2,-4.805598259E-1,4.896074545E-1
5.460487850E-1,-1.268508434E-1,1.559386253E-1,-9.269952774E-2,2.213621327E-1
5.540138730E-1,-2.910916805E-1,2.695007324E-1,1.250457764E-1,4.159344389E-1
5.620399960E-1,-3.291637897E-1,2.067842484E-1,5.450820923E-2,3.925298342E-1
5.700050830E-1,-3.235373497E-1,2.982468605E-1,1.383442879E-1,4.612664614E-1
5.780312070E-1,-2.050869465E-1,3.261661530E-1,8.058977127E-2,3.936238384E-1
5.859962940E-1,-1.142780781E-1,3.325695992E-1,3.940153122E-2,3.538566067E-1
5.940224170E-1,7.798504829E-2,3.413996696E-1,-6.346940994E-2,3.558985364E-1
6.019569880E-1,2.425174713E-1,3.873748779E-1,-1.905250549E-1,4.951502969E-1
6.099220760E-1,3.386011124E-1,4.521937370E-1,-2.274293900E-1,6.089778457E-1
6.179481990E-1,4.715862274E-1,4.857487679E-1,-2.221336365E-1,7.125228332E-1
6.259132870E-1,5.012308359E-1,5.000696182E-1,-1.868247986E-2,7.082732587E-1
6.339394100E-1,4.698249102E-1,5.180077553E-1,1.687498093E-1,7.194052953E-1
6.419044980E-1,2.939648628E-1,5.890445709E-1,4.502840042E-1,7.975866922E-1
6.499306210E-1,-2.306292057E-1,7.966771126E-1,8.690500259E-1,1.201304374E0
6.579262260E-1,-2.946808338E-1,6.571874619E-1,6.206603050E-1,9.507635711E-1
6.659523490E-1,9.039163589E-3,5.040616989E-1,2.190303802E-2,5.046183170E-1
6.739479550E-1,9.946274757E-2,5.918331146E-1,7.881450653E-2,6.052858830E-1
6.819435600E-1,1.007390022E-1,5.377969742E-1,-1.054253578E-1,5.572148940E-1
6.898781300E-1,1.881428957E-1,4.358792305E-1,-4.281215668E-1,6.392781310E-1
6.979042530E-1,4.458683729E-1,2.993874550E-1,-5.908560753E-1,7.984624950E-1
7.058998590E-1,6.417843103E-1,2.342410088E-1,-5.766921043E-1,8.940524226E-1
